episode,reward,avg_distance,policy_loss,contrastive_loss,entropy,tether_violations,collisions,hyperparams,algorithm,timestamp,num_episodes
1,-50,3.2524906484793625,-0.03656933829188347,0.0,0.24279887974262238,72,0,"{'lr': 0.0001, 'max_steps': 100, 'max_episodes': 50}",DIAL,2025-04-06 13:04:08,50
2,-100,4.726628412597672,-0.06004536151885986,0.0,0.23751121759414673,83,0,"{'lr': 0.0001, 'max_steps': 100, 'max_episodes': 50}",DIAL,2025-04-06 13:04:37,50
3,50,4.174776981480476,-0.11260455846786499,0.0,0.2353784292936325,83,0,"{'lr': 0.0001, 'max_steps': 100, 'max_episodes': 50}",DIAL,2025-04-06 13:05:06,50
4,-100,3.9766717113794927,-0.062265098094940186,0.0,0.24100150167942047,97,0,"{'lr': 0.0001, 'max_steps': 100, 'max_episodes': 50}",DIAL,2025-04-06 13:05:35,50
5,-100,6.26289052887814,-0.04511948674917221,0.0,0.2378370463848114,90,0,"{'lr': 0.0001, 'max_steps': 100, 'max_episodes': 50}",DIAL,2025-04-06 13:06:04,50
6,-100,6.274665418742029,-0.0724315419793129,0.0,0.23586256802082062,92,0,"{'lr': 0.0001, 'max_steps': 100, 'max_episodes': 50}",DIAL,2025-04-06 13:06:35,50
7,-100,6.918481883560729,-0.0457010492682457,0.0,0.24168914556503296,100,0,"{'lr': 0.0001, 'max_steps': 100, 'max_episodes': 50}",DIAL,2025-04-06 13:07:04,50
8,-100,4.401304905504132,-0.04384807497262955,0.0,0.2421329766511917,90,0,"{'lr': 0.0001, 'max_steps': 100, 'max_episodes': 50}",DIAL,2025-04-06 13:07:34,50
9,0,5.555292390129345,-0.05495261400938034,0.0,0.23718316853046417,96,0,"{'lr': 0.0001, 'max_steps': 100, 'max_episodes': 50}",DIAL,2025-04-06 13:08:03,50
10,-50,5.631260870522798,-0.045325152575969696,0.0,0.24297434091567993,100,0,"{'lr': 0.0001, 'max_steps': 100, 'max_episodes': 50}",DIAL,2025-04-06 13:08:32,50
11,0,5.078618515931105,-0.04071455076336861,0.0,0.24347220361232758,92,0,"{'lr': 0.0001, 'max_steps': 100, 'max_episodes': 50}",DIAL,2025-04-06 13:09:01,50
12,-100,6.3350633314644496,-0.06682009994983673,0.0,0.23776957392692566,100,0,"{'lr': 0.0001, 'max_steps': 100, 'max_episodes': 50}",DIAL,2025-04-06 13:09:31,50
13,-100,5.613785758235504,-0.07138358056545258,0.0,0.23853270709514618,95,0,"{'lr': 0.0001, 'max_steps': 100, 'max_episodes': 50}",DIAL,2025-04-06 13:10:00,50
14,-100,4.025551732896743,-0.05853428691625595,0.0,0.24208423495292664,92,0,"{'lr': 0.0001, 'max_steps': 100, 'max_episodes': 50}",DIAL,2025-04-06 13:10:29,50
15,150,5.330254465063957,-0.043390318751335144,0.0,0.24271045625209808,95,0,"{'lr': 0.0001, 'max_steps': 100, 'max_episodes': 50}",DIAL,2025-04-06 13:10:58,50
16,-100,7.426793562873319,-0.11006024479866028,0.0,0.23541633784770966,100,0,"{'lr': 0.0001, 'max_steps': 100, 'max_episodes': 50}",DIAL,2025-04-06 13:11:28,50
17,-100,6.919149034473081,-0.08646850287914276,0.0,0.23821064829826355,92,0,"{'lr': 0.0001, 'max_steps': 100, 'max_episodes': 50}",DIAL,2025-04-06 13:11:57,50
18,-100,7.850121931989898,-0.11447962373495102,0.0,0.2357669174671173,100,0,"{'lr': 0.0001, 'max_steps': 100, 'max_episodes': 50}",DIAL,2025-04-06 13:12:27,50
19,-100,4.467710549300271,-0.06905210763216019,0.0,0.24191252887248993,87,0,"{'lr': 0.0001, 'max_steps': 100, 'max_episodes': 50}",DIAL,2025-04-06 13:12:57,50
20,-100,7.232957848020177,-0.06265763938426971,0.0,0.24113671481609344,100,0,"{'lr': 0.0001, 'max_steps': 100, 'max_episodes': 50}",DIAL,2025-04-06 13:13:28,50
21,-100,4.35684911689898,-0.09630054235458374,0.0,0.23861970007419586,92,0,"{'lr': 0.0001, 'max_steps': 100, 'max_episodes': 50}",DIAL,2025-04-06 13:13:58,50
22,-100,2.248182330895994,-0.0782076045870781,0.0,0.2371555119752884,71,0,"{'lr': 0.0001, 'max_steps': 100, 'max_episodes': 50}",DIAL,2025-04-06 13:14:27,50
23,-100,7.535347693758187,-0.0491323359310627,0.0,0.24277125298976898,100,0,"{'lr': 0.0001, 'max_steps': 100, 'max_episodes': 50}",DIAL,2025-04-06 13:14:57,50
24,-100,4.441369250910633,-0.04763920232653618,0.0,0.24323831498622894,95,0,"{'lr': 0.0001, 'max_steps': 100, 'max_episodes': 50}",DIAL,2025-04-06 13:15:26,50
25,-100,5.254646789687456,-0.06073359400033951,0.0,0.24203936755657196,99,0,"{'lr': 0.0001, 'max_steps': 100, 'max_episodes': 50}",DIAL,2025-04-06 13:15:56,50
26,-100,4.2910518858708055,-0.07605699449777603,0.0,0.23704354465007782,89,0,"{'lr': 0.0001, 'max_steps': 100, 'max_episodes': 50}",DIAL,2025-04-06 13:16:25,50
27,-100,8.67753594862785,-0.05961158871650696,0.0,0.24091333150863647,100,0,"{'lr': 0.0001, 'max_steps': 100, 'max_episodes': 50}",DIAL,2025-04-06 13:16:55,50
28,-50,4.359720988456785,-0.06595968455076218,0.0,0.24081121385097504,80,0,"{'lr': 0.0001, 'max_steps': 100, 'max_episodes': 50}",DIAL,2025-04-06 13:17:25,50
29,-100,4.375091081874279,-0.09229728579521179,0.0,0.2403218001127243,87,0,"{'lr': 0.0001, 'max_steps': 100, 'max_episodes': 50}",DIAL,2025-04-06 13:17:54,50
30,0,5.229935926143675,-0.08520546555519104,0.0,0.24256815016269684,90,0,"{'lr': 0.0001, 'max_steps': 100, 'max_episodes': 50}",DIAL,2025-04-06 13:18:24,50
31,-100,3.8278991286919393,-0.09924592822790146,0.0,0.23643165826797485,67,0,"{'lr': 0.0001, 'max_steps': 100, 'max_episodes': 50}",DIAL,2025-04-06 13:18:54,50
32,-100,5.823560476243512,-0.05957295745611191,0.0,0.243012934923172,92,0,"{'lr': 0.0001, 'max_steps': 100, 'max_episodes': 50}",DIAL,2025-04-06 13:19:24,50
33,-100,4.80505972893925,-0.06717647612094879,0.0,0.24241620302200317,76,0,"{'lr': 0.0001, 'max_steps': 100, 'max_episodes': 50}",DIAL,2025-04-06 13:19:55,50
34,-100,4.974200870757453,-0.08590914309024811,0.0,0.2387506365776062,94,0,"{'lr': 0.0001, 'max_steps': 100, 'max_episodes': 50}",DIAL,2025-04-06 13:20:25,50
