episode,reward,avg_reward,policy_loss,contrastive_loss,reconstruction_loss,entropy,success,tether_violations,collisions,avg_distance,hyperparams,cumulative_reward,out_of_tether_count,steps_taken,communication_count,timestamp,num_episodes,algorithm
1,5050,50.5,3257.08056640625,3257.08056640625,1.8723020553588867,1.7712495600883625e-21,False,0,0,2.0,"{'lr': 0.000413, 'episodes': 50, 'contrastive_weight': 0.68, 'reconstruction_weight': 0.16, 'entropy_weight': 0.058, 'max_steps': 100}",-253491.0,100,1,1,2025-04-08 14:32:33,50,MAPPO
2,-8579950,-85799.5,-8265578.0,-8265578.0,1.7504955530166626,-0.0,False,100,0,3.99,"{'lr': 0.000413, 'episodes': 50, 'contrastive_weight': 0.68, 'reconstruction_weight': 0.16, 'entropy_weight': 0.058, 'max_steps': 100}",-262451.0,101,1,1,2025-04-08 14:32:33,50,MAPPO
3,5050,50.5,3260.26171875,3260.26171875,1.871702790260315,4.1712275979606774e-32,False,0,0,2.0,"{'lr': 0.000413, 'episodes': 50, 'contrastive_weight': 0.68, 'reconstruction_weight': 0.16, 'entropy_weight': 0.058, 'max_steps': 100}",-985151.0,198,1,1,2025-04-08 14:32:33,50,MAPPO
4,5050,50.5,3260.17236328125,3260.17236328125,1.4996075630187988,8.528123648196789e-38,False,0,0,1.99,"{'lr': 0.000413, 'episodes': 50, 'contrastive_weight': 0.68, 'reconstruction_weight': 0.16, 'entropy_weight': 0.058, 'max_steps': 100}",-238634.0,97,1,1,2025-04-08 14:32:33,50,MAPPO
5,5050,50.5,3260.969482421875,3260.969482421875,1.873947262763977,-0.0,False,0,0,1.0,"{'lr': 0.000413, 'episodes': 50, 'contrastive_weight': 0.68, 'reconstruction_weight': 0.16, 'entropy_weight': 0.058, 'max_steps': 100}",-10000.0,0,1,1,2025-04-08 14:32:33,50,MAPPO
6,-8579950,-85799.5,-8265576.5,-8265576.5,1.3773046731948853,-0.0,False,100,0,8.79,"{'lr': 0.000413, 'episodes': 50, 'contrastive_weight': 0.68, 'reconstruction_weight': 0.16, 'entropy_weight': 0.058, 'max_steps': 100}",-288200.0,106,1,1,2025-04-08 14:32:33,50,MAPPO
7,5050,50.5,3260.17236328125,3260.17236328125,1.4996075630187988,8.528123648196789e-38,False,0,0,2.0,"{'lr': 0.000413, 'episodes': 50, 'contrastive_weight': 0.68, 'reconstruction_weight': 0.16, 'entropy_weight': 0.058, 'max_steps': 100}",-252500.0,99,1,1,2025-04-08 14:32:33,50,MAPPO
8,5050,50.5,3260.26171875,3260.26171875,1.871702790260315,4.1712275979606774e-32,False,0,0,1.99,"{'lr': 0.000413, 'episodes': 50, 'contrastive_weight': 0.68, 'reconstruction_weight': 0.16, 'entropy_weight': 0.058, 'max_steps': 100}",-252451.0,99,1,1,2025-04-08 14:32:33,50,MAPPO
9,5050,50.5,3260.26171875,3260.26171875,1.871702790260315,4.1712275979606774e-32,False,0,0,2.0,"{'lr': 0.000413, 'episodes': 50, 'contrastive_weight': 0.68, 'reconstruction_weight': 0.16, 'entropy_weight': 0.058, 'max_steps': 100}",-975201.0,197,1,1,2025-04-08 14:32:33,50,MAPPO
10,5050,50.5,3260.26171875,3260.26171875,1.871702790260315,4.1712275979606774e-32,False,0,0,2.0,"{'lr': 0.000413, 'episodes': 50, 'contrastive_weight': 0.68, 'reconstruction_weight': 0.16, 'entropy_weight': 0.058, 'max_steps': 100}",-257500.0,100,1,1,2025-04-08 14:32:33,50,MAPPO
